"Run","TSSEnrichment","ReadsInTSS","ReadsInPromoter","ReadsInBlacklist","PromoterRatio","PassQC","NucleosomeRatio","nMultiFrags","nMonoFrags","nFrags","nDiFrags","DoubletScore","DoubletEnrichment","BlacklistRatio"
"SRR5355520",15.764,4084,15916,832,0.21216807081156,1,0.869324694742088,5938,20065,37508,11505,0,1.1,0.0110909672603178
"SRR5354018",17.023,6946,25837,1160,0.34458522272606,1,0.766646246642477,5940,21221,37490,10329,108.160735160026,5.9,0.0154707922112563
"SRR3986063",16.306,6110,23220,732,0.309880958735921,1,0.278615794143744,1155,29302,37466,7009,323.306215343116,12.8,0.00976885709710137
"SRR5354310",10.293,3306,14246,908,0.190327321309285,1,0.969736842105263,5548,19000,37425,12877,84.3091818210549,5.2,0.0121309285237141
"SRR5355054",13.041,4373,18656,1563,0.249338429873567,1,0.450657256970026,2904,25789,37411,8718,279.930350029968,10.1,0.0208895779316244
"SRR5354382",11.399,4847,19535,1058,0.261386748019696,1,0.436954431840031,2316,26005,37368,9047,122.318270893836,6.3,0.0141564975380004
"SRR5354615",12.673,4019,16160,846,0.216233575079616,1,0.413328794583759,2142,26439,37367,8786,180.003728377949,7.8,0.0113201487943908
"SRR5355860",12.972,5339,18955,483,0.253782300174053,1,0.377790075631802,1907,27105,37345,8333,0,1.1,0.00646672914714152
"SRR5355020",15.901,5123,20037,1802,0.26872217155732,1,0.37658309640734,2232,27083,37282,7967,180.003728377949,7.8,0.0241671584142482
"SRR5355107",14.806,4748,17970,694,0.241363563101058,1,0.473013611902501,2164,25272,37226,9790,0,1.2,0.0093214420029012
"SRR5354230",11.635,3643,14846,897,0.19947330234058,1,0.363663014401407,1269,27289,37213,8655,23.3961731041091,3,0.012052239808669
"SRR5353965",7.241,1203,4357,1054,0.0585901780431392,1,1.2041614796372,6804,16869,37182,13509,35.2187277893649,3.5,0.0141735248238395
"SRR5353655",16.18,5123,19165,715,0.257774250820466,1,0.397413728291106,2661,26602,37174,7911,9.80356609405896,2.3,0.00961693656856943
"SRR5354488",19.217,6735,23755,1258,0.319553929349727,1,0.226942628903413,864,30294,37169,6011,35.2187277893649,3.5,0.0169227044042078
"SRR5353497",19.103,6531,22562,925,0.303873505010236,1,0.354692745584586,1903,27404,37124,7817,25.8330800081771,3.1,0.0124582480336171
"SRR5355487",13.245,3739,16015,752,0.216091860967185,1,0.835909631391201,6194,20184,37056,10678,0,0.4,0.010146804835924
"SRR5355712",16.089,6752,23177,1342,0.312780026990553,1,0.228244654400796,827,30165,37050,6058,50.9173770223357,4.1,0.018110661268556
"SRR5354291",15.602,6067,23227,621,0.314371176438742,1,0.695209251101322,2712,21792,36942,12438,59.7405393991436,4.4,0.00840506740295598
"SRR5354436",13.66,5698,21082,1481,0.285586561907342,1,0.234778536063161,787,29892,36910,6231,77.9290137391847,5,0.0200623137361149
"SRR5353566",12.302,3038,11858,1192,0.161074737156674,1,0.54141541038526,2677,23880,36809,10252,87.9182538220781,5.3,0.0161916922491782
"SRR5355619",14.352,4124,16476,565,0.224016968510361,1,1.09969167523124,5135,17514,36774,14125,0,0.4,0.00768205797574373
"SRR5355252",14.021,5353,20751,1044,0.282526413244745,1,0.730223792697291,4706,21225,36724,10793,0,0.7,0.0142141378934757
"SRR5354305",23.418,5712,20885,915,0.284591066415938,1,1.09255774165954,5626,17535,36693,13532,59.7405393991436,4.4,0.0124683182078326
"SRR3986072",12.064,5727,21480,800,0.292754729324538,1,0.29751715356865,1292,28274,36686,7120,43.131310042495,3.8,0.0109033418742845
