"","UMAP_1","UMAP_2","Cluster"
"SRR5354274",-0.56590167104034,5.8427256861538,10
"SRR5354328",-0.491922770130916,4.36048310192528,1
"SRR5354613",-0.780155692684932,5.25153105648461,1
"SRR5355080",-1.04217222749023,-2.59440381137428,4
"SRR5355132",-2.61109689294128,5.76547139080467,10
"SRR3986159",-13.0323355537537,-3.0596124610096,11
"SRR5356114",-0.611601505863948,-4.85507089702186,13
"SRR5355028",-0.780485783207698,-2.10025341121254,4
"SRR3986089",1.68765005053254,-0.0153887948184945,8
"SRR3986157",-13.4709713798645,-2.70855469314155,11
"SRR5355622",-0.517224345791621,-9.57970339862404,5
"SRR3986193",-13.0141537529114,-3.19087440578041,11
"SRR5355841",2.31495782316895,-4.58955986110267,6
"SRR5354522",2.13751181544037,1.39110367687645,1
"SRR5356128",-0.6111765247467,-5.35897547809181,13
"SRR3986075",3.09121748388977,-0.455788322368238,8
"SRR5356108",-0.438723598110957,-7.15276295749244,5
"SRR5354541",1.86440506161423,1.32519405277672,1
"SRR5355136",-0.883539710629268,3.91423218639794,1
"SRR5354106",1.70278825939866,-1.7939697584301,9
"SRR5356088",-0.868722949612422,-4.97042162028847,13
"SRR5356141",0.102599527251439,-4.44263894168434,13
"SRR5354413",1.16458776922198,3.60315459164086,1
"SRR5353384",3.25667234839173,3.53633110912743,2
"SRR5355194",-1.54783252297668,5.93031542690697,10
"SRR5354713",-0.254152451145931,3.06594603451195,1
"SRR5353395",3.10583421171875,2.82927935512963,2
"SRR5356101",-0.531420860874934,-5.45140034762916,13
"SRR5355987",-1.54027083932189,-3.26267082301674,4
"SRR5355894",-1.24805620728759,-1.98287914005813,4
"SRR5355628",0.305726434600072,-8.79174525348244,5
"SRR5355386",-0.54551330624847,6.66369622143212,10
"SRR5353991",-0.535922203648372,8.64316647442284,12
"SRR5353949",3.42100998343201,3.07263129146996,2
"SRR5355913",-2.00980523644714,-1.4997521600384,6
"SRR5355783",1.1129006031272,-3.75376588908729,6
"SRR5354587",-0.33577779351501,4.40901129635277,1
"SRR3986123",-13.1546089988831,-3.27166266051826,11
"SRR5355974",-3.24288824616699,-2.54090542403755,14
"SRR5355113",-1.5046046119812,6.68802349956932,10
"SRR5355936",-0.939824853527828,-1.88005606142578,4
"SRR5354268",-0.142599378216548,2.63370983990135,1
"SRR5355810",4.79082342566224,-2.56044740287361,7
"SRR5356144",-0.942807708370967,-5.32152540294227,13
"SRR5354527",-0.338690791714473,4.57559578808251,1
"SRR5355121",-1.90337923585205,5.90906565578881,10
"SRR5354601",-0.52914503632812,3.09152453335228,1
"SRR5355038",-0.819213781941219,-2.23544771281776,4
"SRR5354683",0.0758690494415328,2.75894110592308,1
"SRR5354661",-0.242162380802913,-1.56348917690811,4
"SRR3986122",-13.0486691337707,-3.48497421351967,11
"SRR3986158",-13.4614203315857,-2.73578173724708,11
"SRR5355719",0.217779304396825,-8.40707738009987,5
"SRR5355919",-1.72289017258911,-1.36264828650055,6
"SRR5355158",-2.12728622971801,5.93508856686058,10
"SRR5354204",0.927162881505208,2.73107140453758,1
"SRR5353407",3.42551323355408,3.31072371395531,2
"SRR5355981",-1.44656375466613,-3.72683579532203,4
"SRR5353460",3.11712285460206,3.35671179684105,2
"SRR3986152",-13.3449642997864,-2.52150840369758,11
"SRR5354466",1.35514708937378,2.13117330463829,1
"SRR5355949",-2.4633117061737,-0.856300362029646,6
"SRR5355954",-1.60684016763,-1.27503252831993,6
"SRR5355069",-1.2492597442749,-3.65332753268776,4
"SRR5354680",-1.16865590630798,2.18997614773216,1
"SRR5355234",-1.11003163872985,8.58611386211815,12
"SRR5354548",-0.727055106747432,3.7015804568142,1
"SRR5353887",2.8984031337616,3.79044478329125,2
"SRR5356153",-1.27195313988952,-6.26945597735939,13
"SRR5355492",5.79048034132691,-2.09372938481865,7
"SRR5355253",-1.55350378571777,9.21458237560692,12
"SRR5355774",1.41789969385834,-4.07146746722755,6
"SRR5355064",-1.30926755486755,-2.93211776820717,4
"SRR5355281",-0.916765723812862,8.80002205761376,12
"SRR5356044",-2.34380630074768,-2.94543428031502,14
"SRR5354579",-0.61069336949615,-1.51687354093191,4
"SRR5355794",1.3912049788353,-4.5433314522892,6
"SRR5355889",-1.23501041947631,-1.17681945172844,6
"SRR5355739",-1.08725431977539,-9.48628289310036,5
"SRR5355857",1.97287371338578,-4.2834859570652,6
"SRR5355886",-0.573222313511653,-1.11293564049301,6
"SRR5353553",3.61795207442017,1.82019131573143,2
"SRR3986208",-13.6351845604065,-2.76779884902534,11
"SRR5355042",-1.21717456399231,-2.71978492347297,4
"SRR5354584",-0.430869851696773,4.09862320812645,1
"SRR5355106",-1.29778841553955,5.75013773830834,10
"SRR5355645",-0.925683770764156,-9.95618731586037,5
"SRR5355762",-0.385931287396236,-7.99642855731544,5
"SRR5355592",-0.566436682331844,-9.47707612124977,5
"SRR5355190",-1.43628839074401,6.49410479458275,10
"SRR5355243",-1.251366887677,8.49534981640282,12
"SRR5355244",-1.17698124467163,8.68502514751854,12
"SRR5355856",2.08042338074418,-4.49125105945167,6
"SRR5355199",-0.863778386700435,8.80533974560204,12
"SRR5354143",1.47823336304398,-1.4135213276535,9
"SRR5354420",1.0361039373395,3.20855992229882,1
"SRR3986035",0.287348772895055,-2.23035580722389,4
"SRR3986132",-13.3628676277283,-2.82232291308937,11
"SRR5355305",-0.446397219288631,5.98131268413964,10
"SRR5355858",2.31167491854401,-4.52346331683693,6
"SRR5355921",-1.99689844666748,-1.43461308685837,6
"SRR5355059",0.315245892417149,-0.0357890805393197,1
"SRR5354051",1.73267420710297,-1.99776811210212,9
"SRR5353541",3.85953923643799,2.3163675585598,2
"SRR5355624",-0.225146089184566,-9.21294695941505,5
"SRR5354818",-1.36458376466064,-3.35356444922981,4
"SRR5355095",-1.39331463395385,-3.4637004813343,4
"SRR5355560",5.93521901549073,-2.78472573367653,7
"SRR5355587",-0.643887553799434,-9.69090277759132,5
"SRR3986094",2.29534872950287,-0.615387924590681,8
"SRR5355753",0.00953790129394982,-8.13514191714821,5
"SRR5355859",3.23695250929566,-5.51675850955543,6
"SRR5355875",-0.853247557270808,-1.27431280223427,6
"SRR5355267",-0.862006698239131,8.47336380871239,12
"SRR5353441",3.58581372679444,3.33634179027977,2
"SRR5355496",5.31595155180664,-3.61516649333534,7
"SRR5355871",-0.970192227947994,-1.85111729113159,4
"SRR5354022",-2.51553920327453,2.55610125454369,3
"SRR5355876",-1.09193209229736,-1.30072178749141,6
"SRR5356134",-0.741000447857662,-5.3908861359745,13
"SRR5355031",3.76075765074463,0.0937060633510611,8
"SRR5355237",-1.16229990540771,9.05990021618309,12
"SRR5355887",4.58459564627381,-2.95110292045173,7
"SRR5354614",1.2302012252924,0.970396927914049,1
"SRR5355958",-1.70675567208557,-1.27614986208973,6
"SRR5354531",-0.53103188096313,5.60945742519799,10
"SRR5354593",1.0764593868819,0.230325512012865,4
"SRR5356087",-1.06083730279235,-4.90276558009681,13
"SRR5354478",-0.053397093403621,3.55728238018456,1
"SRR5355666",0.18397762955399,-8.86688000766334,5
"SRR5354474",-0.19089106141357,3.28324454220238,1
"SRR5354755",-1.48811534463195,2.70932667644921,1
"SRR5355908",-1.1123447757843,-3.67369634715614,4
"SRR5354507",-0.334607396710201,4.53859084042015,1
"SRR5354448",-0.221517596829219,3.07528536709252,1
"SRR5355251",-1.49578789292602,8.73974030407372,12
"SRR5355057",-1.12633136330871,-3.79861266223488,4
"SRR5355481",5.26371976317139,-3.16373235789833,7
"SRR5356016",-1.92329219399719,-3.36808783618507,14
"SRR5355157",-2.41951707421569,6.12202113064232,10
"SRR5355975",-0.77552023946075,-1.93951330391464,4
"SRR5354887",-0.413885150540157,-3.4053840121418,4
"SRR5353478",3.57244988859864,2.27002327831688,2
"SRR3986175",-13.115040097821,-3.01420671550331,11
"SRR5354479",-0.307880554783626,3.67862217815819,1
"SRR5355968",-3.76630381165771,-2.71482045260963,14
"SRR5356095",-0.930399928677364,-4.71778423396644,13
"SRR5354385",1.06894744889112,3.69828837307396,1
"SRR3986039",2.41205021322937,-0.437919088283155,8
"SRR5355211",-0.721915994274898,8.65466874035301,12
"SRR5356059",-2.1607849937561,-3.48343665210304,14
"SRR5355260",-0.819748077976985,8.84498494060936,12
"SRR5355032",-0.83549121438293,-2.41133112517891,4
"SRR5355084",-0.849390183079524,-2.39425570575294,4
"SRR5355075",-1.10979536591796,-3.34448523131904,4
"SRR5356092",-0.835173640835567,-4.41951615420875,13
"SRR5355837",2.42190441073151,-4.70546514598427,6
"SRR3986133",-13.42164734422,-2.52918750850258,11
"SRR5354215",1.36732387126656,2.11074965389672,1
"SRR5356148",-1.30405262528686,-6.31661278811989,13
