"","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","CS9","CS10","CS11","CS12","CS13","CS14","CS15","CS16","CS17","CS18","CS19","CS20","CS21","CS22","CS23","CS24","CS25","CS26","CS27","CS28","CS29","CS30"
"SRR5355954",-5.33074e-06,1.06752e-05,-2.62289e-06,-2.21461e-06,-2.75207e-06,-3.62389e-06,2.89436e-06,-6.10315e-06,8.31268e-06,2.12735e-06,-3.50815e-06,-4.46007e-06,1.60939e-05,-7.60871e-06,-3.70531e-06,-6.90929e-06,1.02912e-07,5.30705e-06,4.01589e-06,-3.34951e-06,7.563e-08,2.18223e-06,1.51874e-06,1.98846e-05,1.55353e-05,1.67037e-05,1.66003e-05,1.55178e-05,9.61907e-06,7.26706e-06
"SRR5355069",-3.28359e-06,4.10004e-06,1.50294e-06,-8.24373e-07,-5.97283e-07,-8.98718e-07,1.15376e-06,-1.83549e-06,1.19932e-06,1.27836e-06,-1.27813e-06,-2.49657e-06,6.9298e-06,-3.84074e-06,-1.72901e-06,-2.82334e-06,3.22215e-07,5.08245e-06,5.02396e-07,-2.39228e-06,-1.38417e-06,1.42146e-06,2.8309e-07,1.00891e-05,4.8193e-06,7.19368e-06,8.54129e-06,5.58271e-06,2.96905e-06,3.7318e-06
"SRR5354680",-1.90442e-05,3.26683e-05,-9.78033e-06,-3.54469e-06,-2.48564e-05,-1.47166e-05,2.10793e-06,3.44375e-06,1.84217e-05,1.1277e-05,-2.20204e-05,-1.26948e-05,5.59799e-05,-2.82957e-05,-3.54512e-05,-1.44968e-05,2.27131e-05,2.72657e-05,-1.87481e-05,-4.32405e-06,-7.53991e-06,5.75311e-06,-3.48671e-06,7.05681e-05,3.18806e-05,4.61287e-05,4.78632e-05,4.82691e-05,4.04663e-05,2.67971e-05
"SRR5355234",-1.33137e-05,8.14052e-06,-3.14068e-06,-6.72998e-06,-8.74955e-06,-3.19957e-06,6.45776e-06,1.4317e-06,8.00625e-06,4.28242e-06,-1.76586e-05,-5.80462e-06,1.72362e-05,-1.80943e-05,-8.2684e-06,-9.82389e-06,1.44577e-05,1.14806e-05,-9.42826e-06,6.82073e-07,-5.55138e-06,-8.4521e-06,6.13519e-06,3.90847e-05,1.77379e-05,2.63455e-05,1.90314e-05,1.93707e-05,2.05236e-05,1.79706e-05
"SRR5354548",-2.40805e-06,3.80522e-06,-1.30556e-06,-5.69718e-07,-1.62766e-06,-1.75477e-06,1.50903e-06,1.1349e-07,2.25282e-06,1.90753e-07,-3.36977e-06,-5.81075e-07,5.19036e-06,-5.05273e-06,-3.2443e-06,-1.09057e-06,3.11101e-06,3.83335e-06,-2.28744e-06,3.75444e-07,-1.78085e-06,1.60775e-07,-8.8375e-07,9.43852e-06,4.74051e-06,4.32619e-06,2.70926e-06,4.12621e-06,4.10375e-06,3.72252e-06
"SRR5353887",-4.41316e-06,6.87531e-06,-1.02672e-06,-2.31102e-06,-1.54176e-06,-1.98383e-06,3.77936e-06,-6.91022e-07,4.91793e-06,1.94643e-06,-1.39509e-06,-1.46479e-06,7.22028e-06,-6.19726e-06,-4.29061e-06,-3.80035e-06,1.43954e-06,3.64744e-06,-2.13432e-06,-4.44585e-07,1.30766e-07,1.94784e-06,-3.50873e-06,1.39021e-05,6.94983e-06,6.15371e-06,5.10953e-06,9.16061e-06,6.9244e-06,4.49597e-06
"SRR5356153",-1.81289e-05,0.000374182,-0.000290267,-0.000124127,-0.000226234,-0.00015324,0.000186746,-0.000219971,0.000202712,0.000187421,0.000158974,-0.000384501,0.000494817,-0.000276016,-1.34161e-05,-0.000248019,-0.000181722,0.000687789,-0.000127024,-0.000174511,3.73088e-05,-0.00011265,-1.59258e-06,0.000793402,0.000176404,0.000468402,0.000614884,0.000405906,0.000309089,0.000459343
"SRR5355492",-0.000448146,0.00247774,0.00331918,0.0015939,-0.00409886,-0.000330515,0.00125316,-0.00328626,0.00417604,-0.00538324,-0.000423885,0.00229685,0.00739606,-0.00540555,-0.00342607,-0.00332571,0.00357378,0.00520662,0.00205799,-9.15166e-05,-0.00150768,-0.00254442,0.00393258,0.00676232,0.00625861,0.00674279,0.00334209,0.00386559,0.00635424,0.00320469
"SRR5355253",-0.000145324,0.000189855,3.24629e-05,3.9855e-05,-2.72076e-05,-5.48317e-05,4.89832e-05,-1.69966e-05,6.44182e-05,9.12907e-05,-0.000183673,-3.15025e-05,0.000129269,-0.000109813,-2.42964e-05,2.25154e-06,8.1436e-05,2.92209e-05,-0.000144389,1.83654e-05,-1.43752e-05,-7.38228e-05,2.54901e-05,0.000322754,0.000136921,0.000234984,0.000123614,0.000113435,0.000143316,0.000148881
"SRR5355774",-4.99473e-06,1.77846e-05,2.75649e-07,-5.7478e-06,-4.32322e-06,-5.91527e-06,6.49966e-06,-5.57696e-06,1.23029e-05,1.17079e-05,-1.04048e-05,-5.25195e-06,2.23929e-05,-1.38868e-05,-7.54672e-06,-1.57113e-05,8.70526e-07,1.20151e-05,-1.96805e-06,-5.299e-06,-1.5681e-06,2.04621e-06,2.83408e-06,3.24889e-05,2.03157e-05,2.13405e-05,2.65933e-05,2.47561e-05,1.67446e-05,8.00532e-06
"SRR5355064",-2.62154e-06,4.33767e-06,-3.53357e-07,-3.02818e-06,-2.59078e-06,-2.46702e-06,8.23929e-07,-7.50607e-07,1.18675e-06,3.90307e-06,-1.72925e-06,-2.68417e-06,5.90974e-06,-4.24741e-06,-2.38023e-06,-3.5428e-06,-1.36105e-07,3.40303e-06,5.29223e-07,-2.96004e-06,4.46873e-07,2.09293e-06,-1.33577e-06,9.9607e-06,5.80026e-06,6.93931e-06,5.92532e-06,6.88643e-06,4.85392e-06,3.69055e-06
"SRR5355281",-2.40648e-05,3.54907e-05,2.06821e-06,-5.07309e-06,-4.22284e-06,-8.60947e-06,1.16574e-07,6.9497e-06,1.0324e-05,2.02724e-05,-3.27663e-05,-2.31118e-06,5.88278e-05,-4.63388e-05,-2.65807e-05,-2.00062e-05,3.36513e-05,1.90287e-05,-4.68573e-05,9.54774e-06,-8.49583e-06,-3.83429e-06,-9.51555e-06,0.000109306,4.78067e-05,6.67392e-05,4.31085e-05,3.29763e-05,4.41938e-05,4.70557e-05
"SRR5356044",-4.26931e-08,2.35903e-08,7.42082e-08,-4.54194e-08,-2.35028e-08,2.10453e-08,4.47036e-08,-1.45753e-08,-2.35109e-09,1.74579e-08,2.74973e-08,1.80512e-08,3.33562e-08,3.87712e-09,-3.26551e-09,-9.3986e-09,-9.18752e-09,2.58383e-08,-1.7744e-09,3.06008e-08,1.62597e-08,-3.32942e-08,-1.48813e-08,4.69358e-08,4.22084e-08,3.1509e-08,6.60125e-08,2.11402e-08,5.25589e-08,3.18126e-08
