,GSE96769#SRR5355219,GSE96769#SRR5355440,GSE96769#SRR5355614,GSE96769#SRR5355849,GSE96769#SRR5356042
GSE96769#SRR5354800,0.4553691282197273,0.01931362651069812,0.02506148284208235,0.45170675793410875,0.04854900449337962
GSE96769#SRR5355071,0.08885047041664676,0.051312540131989375,0.06848387752057804,0.7097066809561436,0.08164643097463935
GSE96769#SRR5354698,0.19133164410920156,0.0258052284242623,0.03553219509057251,0.6750133441794743,0.0723175881964861
GSE96769#SRR5354830,0.08650907744838962,0.060756683888970396,0.09851000677029782,0.676352945372796,0.07787128651954361
GSE96769#SRR5354199,0.9009800098106457,0.0,0.0,0.08211640458577675,0.0
GSE96769#SRR5355881,0.048571499448437944,0.01592648000434564,0.025599025401231497,0.8283002337346461,0.08160276141133693
GSE96769#SRR5353694,0.2869543141861699,0.026515071725817064,0.034067434296379304,0.5889010178485292,0.0635621619431001
GSE96769#SRR5354107,0.12150512354524783,0.03683520853795125,0.05065384112594482,0.7111809250954259,0.07982490169542752
GSE96769#SRR5354723,0.28355200996971053,0.026783712852804356,0.03435623289847999,0.5914419723569558,0.06386607192204416
GSE96769#SRR5355700,0.0,0.0,0.9979862161884016,0.0,0.0
GSE96769#SRR5353740,0.09369990414200545,0.07442356839263853,0.0832851794589077,0.6715775166861896,0.0770138313202553
GSE96769#SRR5353701,0.28645914312226733,0.026559551024063224,0.03411246104806612,0.5892631820854737,0.06360566272012484
GSE96769#SRR5355633,0.0,0.0,0.9969069239916932,0.0,0.0
GSE96769#SRR5354035,0.48549383734947005,0.01825367284726457,0.02367509074381947,0.42671456670122787,0.04586283235821463
GSE96769#SRR5354678,0.47975884140961944,0.01845485426946896,0.023938953164963885,0.43147308826368075,0.04637426289226315
GSE96769#SRR5355315,0.9014211884269657,0.0,0.0,0.08175053824779006,0.0
GSE96769#SRR5355185,0.8984278891516652,0.0,0.0,0.08423286343178624,0.0
GSE96769#SRR5354777,0.3599138660614395,0.022644784841741313,0.029469200047447602,0.5309073514201463,0.0570647976292213
GSE96769#SRR5354236,0.6062546144067107,0.0139861388853866,0.01811724198301699,0.32654547535441075,0.03509652937047038
GSE96769#SRR5355929,0.06427451013893967,0.018220317979963842,0.028638141573171034,0.8066817112445808,0.08218531906334225
GSE96769#SRR5354267,0.34809999357231575,0.02359514244078723,0.029685947114082456,0.5405924671951703,0.05802644967764582
GSE96769#SRR5354660,0.37868639923270275,0.022034429006298546,0.028622428591874954,0.5152688030152126,0.05538794015390706
GSE96769#SRR5355480,0.0,0.9745245967223445,0.0,0.018284945294373606,0.0
GSE96769#SRR5354769,0.353807591999941,0.02304730156195708,0.029824621516308537,0.5357209738160421,0.057599511105747486
GSE96769#SRR5353732,0.28575705477216495,0.02658439644739983,0.03412231334498009,0.5898659654919689,0.0636702699434811
GSE96769#SRR5355014,0.04236930675427252,0.015108953256895815,0.0246271492947358,0.8230334082338981,0.0948611824601962
GSE96769#SRR5354342,0.4967436464113108,0.017856169176302797,0.023157382265159104,0.4173829343492879,0.04485986779793534
