,IterativeLSI#UMAP_Dimension_1,IterativeLSI#UMAP_Dimension_2
GSE96769#SRR5354126,-1.19111833017707,-3.10869848121586
GSE96769#SRR5355706,-12.4230326120222,-2.8923700987238
GSE96769#SRR5355023,-2.36575683992743,0.499428576336475
GSE96769#SRR5354807,1.83818450528741,-4.04083072532597
GSE96769#SRR5353737,2.04720404702783,-4.13595544685307
GSE96769#SRR5353564,2.25578740197778,5.63108242164669
GSE96769#SRR5355948,-2.57019433420539,-1.80597555030766
GSE96769#SRR5354098,-0.309877008613347,-2.64468752731266
GSE96769#SRR5354442,1.02156212884545,3.00472295890865
GSE96769#SRR5354400,1.22810104447961,2.56725752960262
GSE96769#SRR5355044,-2.87323007028937,-0.451236718787578
GSE96769#SRR5355910,-2.55582794588447,-1.52247559417668
GSE96769#SRR5354284,1.13522252399087,1.49359965930996
GSE96769#SRR5354775,2.24168828088403,-1.5304019390482
GSE96769#SRR5355497,-2.63016924303412,-6.37204419959965
GSE96769#SRR5355070,-2.54946073931098,-1.07940863956395
GSE96769#SRR5355702,-12.0268314782941,-3.33310257781926
GSE96769#SRR5355092,-11.5873993341291,-3.17583929885807
GSE96769#SRR5355050,-1.81216487329841,-0.374880397214321
GSE96769#SRR5354138,-0.00286015909552484,-2.07238470901432
GSE96769#SRR5355862,-4.34343752306342,-2.30390774597111
GSE96769#SRR5355842,-4.72854456346869,-2.38511072982731
GSE96769#SRR5354725,2.35327580529809,-1.24803804744664
GSE96769#SRR5355867,-4.29725250643134,-2.49678265441838
GSE96769#SRR5353981,3.81514325696588,-2.08149253715458
GSE96769#SRR5355235,6.01927342969537,-1.23682939399662
GSE96769#SRR5355694,-13.0119951669538,-2.11054312576237
GSE96769#SRR5355160,6.37394490796685,1.90913868557033
GSE96769#SRR5354512,1.63335111695886,0.240299841867062
GSE96769#SRR5355514,0.769643127504588,-2.10952913154545
GSE96769#SRR5355164,6.74550881940484,2.93121827255306
GSE96769#SRR5353696,2.01585999089837,-3.46306859840336
GSE96769#SRR5354090,-1.17529687326789,-3.37483441223088
GSE96769#SRR5353708,1.88506570417047,-4.41885959495488
GSE96769#SRR5355491,-2.69142898958564,-6.8214346109766
GSE96769#SRR5353597,0.725460260692836,4.52167451988277
GSE96769#SRR5354118,-1.10233542364478,-2.49711286415043
GSE96769#SRR5355691,-12.767656177696,-1.84323405612889
GSE96769#SRR5355133,6.66239181119561,2.86542523513851
GSE96769#SRR5354017,2.77083650189996,-2.85056220878544
GSE96769#SRR5355141,6.44393458921075,2.12004888664302
GSE96769#SRR5354750,1.94780555326104,-0.419466072215465
GSE96769#SRR5354229,3.69139924604058,2.12929070602474
GSE96769#SRR5353874,2.14376512128472,4.20806253562984
GSE96769#SRR5355216,5.89116445142388,-0.88926833261433
GSE96769#SRR5355767,-11.8489244882429,-3.2605866133112
GSE96769#SRR5355147,6.00228038388848,1.92821646343288
GSE96769#SRR5354136,-0.816273063834905,-2.16522657264653
GSE96769#SRR5353417,1.21116462308526,3.65768159042415
GSE96769#SRR5353728,2.18287041741967,-4.46535932411137
GSE96769#SRR5355146,6.60520568448663,2.86102712760982
GSE96769#SRR5355638,-11.5494726602399,-2.62475096572819
GSE96769#SRR5355878,-2.29878482263923,-1.34678840030613
GSE96769#SRR5353638,1.8172364528811,5.32515705238399
GSE96769#SRR5353422,0.618163480941058,4.9570397199255
GSE96769#SRR5355914,-2.82397756021857,-2.09459220756474
GSE96769#SRR5355798,-3.45180067461371,-1.12083899368229
GSE96769#SRR5354137,-0.403625816520452,-2.26094519485417
GSE96769#SRR5355634,-11.4792641107404,-1.73761259902897
GSE96769#SRR5355945,-3.12548574846625,-2.79203760017338
