,Sample,TSSEnrichment,ReadsInTSS,ReadsInPromoter,ReadsInBlacklist,PromoterRatio,PassQC,NucleosomeRatio,nMultiFrags,nMonoFrags,nFrags,nDiFrags,DoubletScore,DoubletEnrichment,BlacklistRatio,Clusters.res.0.4,Clusters.res.0.8,Clusters.res.1,Clusters.res.1.5,cell_type,donor
GSE96769#SRR5356085,GSE96769,23.966,15213,57763,2270,0.39824467058272,1,1.3952044388665,15212,30278,72522,27032,21.4194777108615,3.6,0.0156504233198202,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5355822,GSE96769,15.559,12619,43835,1764,0.302677732972435,1,0.295013949495672,2611,55916,72412,13885,0.670189197739972,1.8,0.0121803016074684,2,4,4,6,UNK,BM0106
GSE96769#SRR5354282,GSE96769,13.917,8448,35867,1764,0.247960566340357,1,1.46326759987739,16653,29361,72324,26310,154.620645379027,9.8,0.0121951219512195,5,7,7,7,CMP,BM1137
GSE96769#SRR5355746,GSE96769,16.326,9638,33633,2053,0.232603012573136,1,0.322619004061322,2280,54662,72297,15355,13.0254962562359,3,0.0141983761428552,7,9,9,12,pDC,BM1214
GSE96769#SRR5355207,GSE96769,17.54,11001,39314,1460,0.272635228848821,1,0.714299300965334,5499,42058,72100,24543,0,0.6,0.010124826629681,1,2,2,2,MEP,BM0828
GSE96769#SRR5354433,GSE96769,14.274,11238,40643,1926,0.282137254085274,1,0.210720949387302,1573,59491,72027,10963,90.5123015566949,7.2,0.0133699862551543,5,7,7,7,CMP,BM1214
GSE96769#SRR5354771,GSE96769,17.418,12367,45723,1423,0.317494375468711,1,0.74272714071349,8562,41318,72006,22126,0,1.6,0.00988112101769297,6,8,8,8,CMP,BM0828
GSE96769#SRR5356013,GSE96769,14.173,7744,27471,2716,0.190853006155428,1,0.500072951622653,3808,47977,71969,20184,138.958742328041,9.2,0.0188692353652267,2,4,4,10,GMP-B,BM1137
GSE96769#SRR5356112,GSE96769,16.252,13107,45369,2943,0.315869722624485,1,0.617222509964645,5037,44407,71816,22372,77.0681046605969,6.6,0.0204898629831792,2,4,4,10,GMP-C,BM1137
GSE96769#SRR5355119,GSE96769,9.301,6609,28735,2072,0.200299735117803,1,0.421747403472608,3963,50452,71730,17315,3.78217612492001,2.2,0.0144430503276175,5,1,1,1,MEP,BM1077
GSE96769#SRR5353388,GSE96769,12.664,9459,34454,1428,0.240886527301965,1,0.378044550639741,3833,51896,71515,15786,214.802147132132,12,0.00998391945745648,4,6,6,4,HSC,BM1077
GSE96769#SRR5355784,GSE96769,16.332,9790,36098,1574,0.252574867058494,1,0.383543078412391,4801,51650,71460,15009,244.441154481975,13,0.0110131542121467,2,4,4,6,UNK,BM0106
GSE96769#SRR5355088,GSE96769,17.261,12657,44831,2254,0.313797544552238,1,0.437196949882301,3822,49703,71433,17908,24.2864110314365,3.8,0.0157770218246469,2,4,4,10,GMP,BM1214
GSE96769#SRR5355844,GSE96769,11.626,9306,32325,1496,0.22631800042008,1,0.286409078627398,2768,55515,71415,13132,0,1.4,0.010473990058111,2,4,4,6,UNK,BM0106
GSE96769#SRR5354270,GSE96769,14.328,8017,31725,1766,0.222120312543759,1,1.35790933403771,14361,30287,71414,26766,311.128660792234,15.2,0.012364522362562,2,4,4,10,CMP,BM1137
GSE96769#SRR5353974,GSE96769,11.031,7877,35202,1768,0.246488439508732,1,0.710224415012095,11684,41753,71407,17970,0,1.4,0.0123797386810817,6,8,8,8,MPP,BM0828
GSE96769#SRR5355077,GSE96769,17.619,12875,46815,1475,0.327803996807036,1,0.405262329279332,3723,50814,71407,16870,44.959431197314,5,0.0103281190919658,2,4,4,10,GMP,BM1214
